2023-10-28 19:19:05,467 root INFO start
2023-10-28 19:19:46,350 root INFO start
2023-10-28 19:20:55,276 root INFO start
2023-10-28 19:20:55,303 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:20:55,303 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:20:55,303 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:20:55,304 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:20:55,304 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:20:55,304 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:20:55,304 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:20:55,305 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:20:55,305 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:20:55,305 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:20:55,305 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:20:55,306 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:20:55,306 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:20:55,306 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:20:55,306 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:20:55,306 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:20:55,307 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:20:55,307 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:21:10,683 root INFO start
2023-10-28 19:21:10,704 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:21:10,704 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:21:10,704 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:21:10,704 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:21:10,705 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:21:10,705 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:21:10,705 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:21:10,705 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:21:10,706 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:21:10,706 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
2023-10-28 19:21:10,706 root WARNING Applied processor reduces input query to empty string, all comparisons will have score 0. [Query: '']
